Animal_short,Item,V1_milk_producing,V1_all,Unit,Reference,Reference_2
BFL,Feces,0.39,0.45,% of total water intake,"Khelil-Arfa, Hajer, Philippe Faverdin, and Anne Boudon. ""Effect of ambient temperature and sodium bicarbonate supplementation on water and electrolyte balances in dry and lactating Holstein cows."" Journal of dairy science 97, no. 4 (2014): 2305-2318.",Calculated
BFL,Urine,0.42,0.41,% of urinary and evaporation loss,"Khelil-Arfa, Hajer, Philippe Faverdin, and Anne Boudon. ""Effect of ambient temperature and sodium bicarbonate supplementation on water and electrolyte balances in dry and lactating Holstein cows."" Journal of dairy science 97, no. 4 (2014): 2305-2318.",Calculated
BFL,Evaporation,0.58,0.58,% of urinary and evaporation loss,"Khelil-Arfa, Hajer, Philippe Faverdin, and Anne Boudon. ""Effect of ambient temperature and sodium bicarbonate supplementation on water and electrolyte balances in dry and lactating Holstein cows."" Journal of dairy science 97, no. 4 (2014): 2305-2318.",Calculated
CML,Feces,0.3185,0.1625,% of total water intake,"Farid, Mohamed FA. ""Water and mineral problems of the dromedary camel (an overview)."" (1989). Table 10. p.119",Calculated
CML,Urine,0.355,0.4727,% of urinary and evaporation loss,"Farid, Mohamed FA. ""Water and mineral problems of the dromedary camel (an overview)."" (1989). Table 10. p.119",Calculated
CML,Evaporation,0.645,0.5273,% of urinary and evaporation loss,"Farid, Mohamed FA. ""Water and mineral problems of the dromedary camel (an overview)."" (1989). Table 10. p.119",Calculated
CTL,Feces,0.39,0.45,% of total water intake,"Khelil-Arfa, Hajer, Philippe Faverdin, and Anne Boudon. ""Effect of ambient temperature and sodium bicarbonate supplementation on water and electrolyte balances in dry and lactating Holstein cows."" Journal of dairy science 97, no. 4 (2014): 2305-2318.",Calculated
CTL,Urine,0.42,0.41,% of urinary and evaporation loss,"Khelil-Arfa, Hajer, Philippe Faverdin, and Anne Boudon. ""Effect of ambient temperature and sodium bicarbonate supplementation on water and electrolyte balances in dry and lactating Holstein cows."" Journal of dairy science 97, no. 4 (2014): 2305-2318.",Calculated
CTL,Evaporation,0.58,0.58,% of urinary and evaporation loss,"Khelil-Arfa, Hajer, Philippe Faverdin, and Anne Boudon. ""Effect of ambient temperature and sodium bicarbonate supplementation on water and electrolyte balances in dry and lactating Holstein cows."" Journal of dairy science 97, no. 4 (2014): 2305-2318.",Calculated
GTS,Feces,0.1625,0.1625,% of total water intake,"Farid, Mohamed FA. ""Water and mineral problems of the dromedary camel (an overview)."" (1989). Table 10. p.119",Calculated
GTS,Urine,0.4727,0.4727,% of urinary and evaporation loss,"Farid, Mohamed FA. ""Water and mineral problems of the dromedary camel (an overview)."" (1989). Table 10. p.119",Calculated
GTS,Evaporation,0.5273,0.5273,% of urinary and evaporation loss,"Farid, Mohamed FA. ""Water and mineral problems of the dromedary camel (an overview)."" (1989). Table 10. p.119",Calculated
PGS,Feces,0.2338,0.2338,% of total water intake,"Mroz, Zdzislaw, Age W. Jongbloed, Nico P. Lenis, and Karel Vreman. ""Water in pig nutrition: physiology, allowances and environmental implications."" Nutrition Research Reviews 8, no. 1 (1995): 137-164.",Calculated
PGS,Urine,0.4986,0.4986,% of urinary and evaporation loss,"Mroz, Zdzislaw, Age W. Jongbloed, Nico P. Lenis, and Karel Vreman. ""Water in pig nutrition: physiology, allowances and environmental implications."" Nutrition Research Reviews 8, no. 1 (1995): 137-164.",Calculated
PGS,Evaporation,0.5014,0.5014,% of urinary and evaporation loss,"Mroz, Zdzislaw, Age W. Jongbloed, Nico P. Lenis, and Karel Vreman. ""Water in pig nutrition: physiology, allowances and environmental implications."" Nutrition Research Reviews 8, no. 1 (1995): 137-164.",Calculated
SHP,Feces,0.1625,0.1625,% of total water intake,"Farid, Mohamed FA. ""Water and mineral problems of the dromedary camel (an overview)."" (1989). Table 10. p.119",Calculated
SHP,Urine,0.4727,0.4727,% of urinary and evaporation loss,"Farid, Mohamed FA. ""Water and mineral problems of the dromedary camel (an overview)."" (1989). Table 10. p.119",Calculated
SHP,Evaporation,0.5273,0.5273,% of urinary and evaporation loss,"Farid, Mohamed FA. ""Water and mineral problems of the dromedary camel (an overview)."" (1989). Table 10. p.119",Calculated
CHK,Feces,0.5661,0.5661,% of total water intake,"Medway, William, and Morley R. Kare. ""Water metabolism of the growing domestic fowl with special reference to water balance."" Poultry Science 38, no. 3 (1959): 631-637.",Calculated
CHK,Urine,0,0,,,
CHK,Evaporation,0.4037,0.4037,% of urinary and evaporation loss,"Medway, William, and Morley R. Kare. ""Water metabolism of the growing domestic fowl with special reference to water balance."" Poultry Science 38, no. 3 (1959): 631-637.",Calculated
CTL,Milk,0.878,0,% water in milk,"Nayak, C., Ramachandra, C. T., and Kumar, G. 2020. A Comprehensive Review on Composition of Donkey Milk in Comparison to Human, Cow, Buffalo, Sheep, Goat, Camel and Horse Milk. Mysore Journal of Agricultural Sciences, 54(3);
National Research Council, Committee on Animal Nutrition, & Subcommittee on Dairy Cattle Nutrition. 2001. Nutrient requirements of dairy cattle: 2001. National Academies Press.",
BFL,Milk,0.824,0,% water in milk,"Nayak, C., Ramachandra, C. T., and Kumar, G. 2020. A Comprehensive Review on Composition of Donkey Milk in Comparison to Human, Cow, Buffalo, Sheep, Goat, Camel and Horse Milk. Mysore Journal of Agricultural Sciences, 54(3);
National Research Council, Committee on Animal Nutrition, & Subcommittee on Dairy Cattle Nutrition. 2001. Nutrient requirements of dairy cattle: 2001. National Academies Press.",
CML,Milk,0.884,0,% water in milk,"Nayak, C., Ramachandra, C. T., and Kumar, G. 2020. A Comprehensive Review on Composition of Donkey Milk in Comparison to Human, Cow, Buffalo, Sheep, Goat, Camel and Horse Milk. Mysore Journal of Agricultural Sciences, 54(3);
National Research Council, Committee on Animal Nutrition, & Subcommittee on Dairy Cattle Nutrition. 2001. Nutrient requirements of dairy cattle: 2001. National Academies Press.",
